Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
AMXL,AMERICA MOVIL L,Equity,11.99,14.42,"456,680,855.00","6,585,337,929.10","6,585,337,929.10",Comunicación,2667470,MXP001691213,Bolsa Mexicana De Valores,México,MXN,MXN,1
WALMEX*,WALMART DE MEXICO V,Equity,11.94,67.62,"96,982,830.00","6,557,978,964.60","6,557,978,964.60",Productos básicos de consumo,BW1YVH8,MX01WA000038,Bolsa Mexicana De Valores,México,MXN,MXN,1
GMEXICOB,GRUPO MEXICO B,Equity,10.18,91.39,"61,130,898.00","5,586,752,768.22","5,586,752,768.22",Materiales,2643674,MXP370841019,Bolsa Mexicana De Valores,México,MXN,MXN,1
GFNORTEO,GPO FINANCE BANORTE,Equity,10.04,117.47,"46,940,904.00","5,514,147,992.88","5,514,147,992.88",Financieros,2421041,MXP370711014,Bolsa Mexicana De Valores,México,MXN,MXN,1
FEMSAUBD,FOMENTO ECONOMICO MEXICANO,Equity,9.79,151.04,"35,596,437.00","5,376,485,844.48","5,376,485,844.48",Productos básicos de consumo,2242059,MXP320321310,Bolsa Mexicana De Valores,México,MXN,MXN,1
CEMEXCPO,CEMEX CPO,Equity,6.69,12.67,"289,914,946.00","3,673,222,365.82","3,673,222,365.82",Materiales,2406457,MXP225611567,Bolsa Mexicana De Valores,México,MXN,MXN,1
TLEVISACPO,GRUPO TELEVISA,Equity,3.02,34.23,"48,457,103.00","1,658,686,635.69","1,658,686,635.69",Comunicación,2380108,MXP4987V1378,Bolsa Mexicana De Valores,México,MXN,MXN,1
GAPB,GRUPO AEROPORTUARIO DEL PACIFICO,Equity,2.98,215.66,"7,580,215.00","1,634,749,166.90","1,634,749,166.90",Industriales,B0ZV104,MX01GA000004,Bolsa Mexicana De Valores,México,MXN,MXN,1
ELEKTRA*,GRUPO ELEKTRA,Equity,2.85,"1,399.38","1,117,719.00","1,564,113,614.22","1,564,113,614.22",Financieros,2967084,MX01EL000003,Bolsa Mexicana De Valores,México,MXN,MXN,1
ASURB,GRUPO AEROPORTUARIO DEL SURESTE B,Equity,2.28,327.45,"3,820,442.00","1,251,003,732.90","1,251,003,732.90",Industriales,2639349,MXP001661018,Bolsa Mexicana De Valores,México,MXN,MXN,1
BIMBOA,GRUPO BIMBO A,Equity,2.11,43.23,"26,853,058.00","1,160,857,697.34","1,160,857,697.34",Productos básicos de consumo,2392471,MXP495211262,Bolsa Mexicana De Valores,México,MXN,MXN,1
KIMBERA,KIMBERLY-CLARK DE MEXICO CLASS A,Equity,1.77,36.03,"27,041,057.00","974,289,283.71","974,289,283.71",Productos básicos de consumo,2491914,MXP606941179,Bolsa Mexicana De Valores,México,MXN,MXN,1
